name,lat,lng,priority,type
"Sofia",42.68333333333333,23.316667,3,1
"Ouagadougou",12.366666666666667,-1.516667,4,1
"Rangoon",16.8,96.150000,3,1
"Bujumbura",-3.3666666666666667,29.350000,5,1
"Phnom Penh",11.55,104.916667,3,1
"Ottawa",45.416666666666664,-75.700000,3,1
"Praia",14.916666666666666,-23.516667,3,1
"George Town",19.3,-81.383333,7,1
"N'Djamena",12.1,15.033333,3,1
"Santiago",-33.45,-70.666667,2,1
"Beijing",39.916666666666664,116.383333,2,1
"The Settlement",-10.416666666666666,105.716667,5,1
"West Island",-12.166666666666666,96.833333,6,1
"Bogota",4.6,-74.083333,2,1
"Moroni",-11.7,43.233333,4,1
"Kinshasa",-4.316666666666666,15.300000,8,1
"Brazzaville",-4.25,15.283333,3,1
"Avarua",-21.2,-159.766667,5,1
"San Jose",9.933333333333334,-84.083333,4,1
"Yamoussoukro",6.816666666666666,-5.266667,3,1
"Zagreb",45.8,16.000000,3,1
"Havana",23.116666666666667,-82.350000,3,1
"Willemstad",12.1,-68.916667,5,1
"Nicosia",35.166666666666664,33.366667,6,1
"Prague",50.083333333333336,14.466667,3,1
"Copenhagen",55.666666666666664,12.583333,3,1
"Djibouti",11.583333333333334,43.150000,3,1
"Roseau",15.3,-61.400000,5,1
"Santo Domingo",18.466666666666665,-69.900000,3,1
"Quito",-0.21666666666666667,-78.500000,2,1
"Cairo",30.05,31.250000,3,1
"San Salvador",13.7,-89.200000,4,1
"Malabo",3.75,8.783333,3,1
"Asmara",15.333333333333334,38.933333,4,1
"Tallinn",59.43333333333333,24.716667,3,1
"Addis Ababa",9.033333333333333,38.700000,3,1
"Stanley",-51.7,-57.850000,3,1
"Torshavn",62,-6.766667,4,1
"Suva",-18.133333333333333,178.416667,3,1
"Helsinki",60.166666666666664,24.933333,2,1
"Paris",48.86666666666667,2.333333,2,1
"Papeete",-17.533333333333335,-149.566667,5,1
"Libreville",2.38333333333333336,9.450000,3,1
"Banjul",13.45,-16.566667,6,1
"Tbilisi",41.68333333333333,44.833333,3,1
"Berlin",52.516666666666666,13.400000,2,1
"Accra",5.55,-0.216667,3,1
"Gibraltar",36.13333333333333,-5.350000,7,1
"Athens",37.983333333333334,23.733333,3,1
"Nuuk",64.18333333333334,-51.750000,3,1
"Saint George's",12.05,-61.750000,3,1
"Hagatna",13.466666666666667,144.733333,7,1
"Guatemala City",14.616666666666667,-90.516667,3,1
"Saint Peter Port",49.45,-2.533333,6,1
"Bissau",11.85,-15.583333,5,1
"Georgetown",6.8,-58.150000,2,1
"Port-au-Prince",18.533333333333335,-72.333333,3,1
"Tegucigalpa",14.1,-87.216667,3,1
"Budapest",47.5,19.083333,3,1
"Reykjavik",64.15,-21.950000,2,1
"New Delhi",28.6,77.200000,2,1
"Jakarta",-6.166666666666667,106.816667,3,1
"Tehran",35.7,51.416667,2,1
"Baghdad",33.333333333333336,44.400000,3,1
"Dublin",53.31666666666667,-6.233333,3,1
"Douglas",54.15,-4.483333,3,1
"Jerusalem",31.766666666666666,35.233333,3,1
"Rome",41.9,12.483333,3,1
"Kingston",18,-76.800000,8,1
"Tokyo",35.68333333333333,139.750000,2,1
"Saint Helier",49.18333333333333,-2.100000,6,1
"Amman",31.95,35.933333,5,1
"Astana",51.166666666666664,71.416667,3,1
"Nairobi",-1.2833333333333332,36.816667,3,1
"Tarawa",-0.8833333333333333,169.533333,3,1
"Pyongyang",39.016666666666666,125.750000,3,1
"Seoul",37.55,126.983333,3,1
"Pristina",42.666666666666664,21.166667,5,1
"Kuwait City",29.366666666666667,47.966667,4,1
"Bishkek",42.86666666666667,74.600000,3,1
"Vientiane",17.966666666666665,102.600000,3,1
"Riga",56.95,24.100000,3,1
"Beirut",33.86666666666667,35.500000,3,1
"Maseru",-29.316666666666666,27.483333,3,1
"Monrovia",6.3,-10.800000,4,1
"Tripoli",32.88333333333333,13.166667,2,1
"Vaduz",47.13333333333333,9.516667,6,1
"Vilnius",54.68333333333333,25.316667,3,1
"Luxembourg",49.6,6.116667,3,1
"Skopje",42,21.433333,3,1
"Antananarivo",-18.916666666666668,47.516667,3,1
"Lilongwe",-13.966666666666667,33.783333,3,1
"Kuala Lumpur",3.1666666666666665,101.700000,3,1
"Male",4.166666666666667,73.500000,3,1
"Bamako",12.65,-8.000000,3,1
"Valletta",35.88333333333333,14.500000,6,1
"Majuro",7.1,171.383333,6,1
"Nouakchott (نواكشوط)",18.066666666666666,-15.966667,3,1
"Port Louis",-20.15,57.483333,3,1
"Mexico City",19.433333333333334,-99.133333,1,1
"Palikir",6.916666666666667,158.150000,6,1
"Chisinau",47,28.850000,3,1
"Monaco",43.733333333333334,7.416667,7,1
"Ulaanbaatar",47.916666666666664,106.916667,3,1
"Podgorica",42.43333333333333,19.266667,3,1
"Plymouth",16.7,-62.216667,6,1
"Rabat",34.016666666666666,-6.816667,3,1
"Maputo",-25.95,32.583333,3,1
"Windhoek",-22.566666666666666,17.083333,3,1
"Kathmandu",27.716666666666665,85.316667,3,1
"Amsterdam",52.35,4.916667,3,1
"Noumea",-22.266666666666666,166.450000,3,1
"Wellington",-41.3,174.783333,3,1
"Managua",12.133333333333333,-86.250000,3,1
"Niamey",13.516666666666667,2.116667,3,1
"Abuja",9.083333333333334,7.533333,4,1
"Alofi",-19.016666666666666,-169.916667,6,1
"Kingston",-29.05,167.966667,3,1
"Saipan",15.2,145.750000,3,1
"Oslo",59.916666666666664,10.750000,3,1
"Muscat",23.616666666666667,58.583333,3,1
"Islamabad",33.68333333333333,73.050000,3,1
"Melekeok",7.483333333333333,134.633333,6,1
"Panama City",8.966666666666667,-79.533333,3,1
"Port Moresby",-9.45,147.183333,3,1
"Asuncion",-25.266666666666666,-57.666667,2,1
"Lima",-12.05,-77.050000,2,1
"Manila",14.6,120.966667,3,1
"Adamstown",-25.066666666666666,-130.083333,3,1
"Warsaw",52.25,21.000000,2,1
"Lisbon",38.71666666666667,-9.133333,2,1
"San Juan",18.466666666666665,-66.116667,3,1
"Doha",25.283333333333335,51.533333,4,1
"Bucharest",44.43333333333333,26.100000,3,1
"Moscow",55.75,37.600000,2,1
"Kigali",-1.95,30.050000,5,1
"Gustavia",17.883333333333333,-62.850000,6,1
"Jamestown",-15.933333333333334,-5.716667,7,1
"Basseterre",17.3,-62.716667,6,1
"Castries",14,-61.000000,5,1
"Saint-Pierre",46.766666666666666,-56.183333,3,1
"Kingstown",13.133333333333333,-61.216667,5,1
